obrazek,podle,corrans,zpetnavazba,pauza,opakovani,opakovani_vbloku,blokkonec
AE1Z0W0L.png,vy,left,0,0,7,2,0
AE1Z1W1L.png,vy,left,0,0,7,2,0
AE1Z0W1R.png,vy,right,0,0,7,2,0
AE1S0W1R.png,vy,right,0,0,7,2,0
AnE0R1W0R.png,vy,left,0,0,7,2,0
AE1S1R0L.png,vy,left,0,0,7,2,0
AE0Z0W1R.png,vy,right,0,0,7,2,0
AnE1R0R1L.png,vy,right,0,0,7,2,0
AE1Z0W0R.png,vy,right,0,0,7,2,0
AnE1L0W1R.png,vy,right,0,0,7,2,0
AE0S1W1L.png,vy,left,0,0,7,2,1
AE0S0R0R.png,znacka,right,0,1,7,3,0
AE0Z0R0R.png,znacka,right,0,0,7,3,0
AnE0L1W1L.png,znacka,right,0,0,7,3,0
AE1S0R0R.png,znacka,right,0,0,7,3,0
AE1S1R1L.png,znacka,left,0,0,7,3,0
AnE1L0R1L.png,znacka,right,0,0,7,3,0
AE1S1R1R.png,znacka,right,0,0,7,3,0
AnE0R1W0L.png,znacka,left,0,0,7,3,0
AE1S1W0L.png,znacka,left,0,0,7,3,0
AE1Z1R1L.png,znacka,left,0,0,7,3,0
AE1Z1R1R.png,znacka,right,0,0,7,3,0
AE0Z1W1L.png,znacka,left,0,0,7,3,0
AnE1L0W1R.png,znacka,left,0,0,7,3,0
AnE1R0R1R.png,znacka,right,0,0,7,3,0
AnE0R0W0L.png,znacka,left,0,0,7,3,0
AnE1R1R1L.png,znacka,left,0,0,7,3,1
AnE1L0W0L.png,cervena,left,0,1,8,1,0
AnE1R1R1L.png,cervena,left,0,0,8,1,0
AE0S1R1L.png,cervena,right,0,0,8,1,0
AnE1L1R1R.png,cervena,left,0,0,8,1,0
AnE0R0R0R.png,cervena,right,0,0,8,1,0
AnE1L1R1L.png,cervena,right,0,0,8,1,0
AnE0R0R0L.png,cervena,left,0,0,8,1,0
AE1Z1R1L.png,cervena,right,0,0,8,1,0
AnE1L0W0R.png,cervena,right,0,0,8,1,0
AnE1R0R1R.png,cervena,right,0,0,8,1,0
